user_id,recommendID,viewID,action
2,4229,4229,click
2,4229,None,None
2,4229,4229,click
2,70,4229,label
2,70,70,click
2,70,70,click
2,70,70,click
2,6842,70,label
2,6842,6842,click
2,6842,6842,click
2,6842,6842,click
2,2104,6842,label
2,2104,2104,click
2,2104,2104,click
2,2104,None,None
2,2104,2104,click
2,2907,2104,label
2,2907,2907,click
2,2907,2907,click
2,2907,None,None
2,2907,2907,click
2,2776,2907,label
2,2776,2776,click
2,2776,2776,click
2,2776,2776,click
2,5538,2776,label
2,5538,5538,click
2,5538,5538,click
2,5538,None,None
2,5538,5538,click
2,568,5538,label
2,568,568,click
2,568,568,click
2,568,568,click
2,3169,568,label
2,3169,3169,click
2,3169,3169,click
2,3169,None,None
2,3169,3169,click
2,6112,3169,label
2,6112,6112,click
2,6112,6112,click
2,6112,6112,click
2,4540,6112,label
2,4540,4540,click
2,4540,4540,click
2,4540,None,None
2,4540,None,None
2,4540,None,None
2,4540,4540,click
2,3128,4540,label
2,3128,3128,click
2,3128,3128,click
2,3128,3128,click
2,7030,3128,label
2,7030,7030,click
2,7030,7030,click
2,7030,None,None
2,7030,7030,click
2,3886,7030,label
2,3886,3886,click
2,3886,3886,click
2,3886,3886,click
2,4171,3886,label
2,4171,4171,click
2,4171,4171,click
2,4171,None,None
2,4171,4171,click
2,5509,4171,label
2,5509,5509,click
2,5509,5509,click
2,5509,None,None
2,5509,5509,click
2,3675,5509,label
2,3675,3675,click
2,3675,3675,click
2,3675,None,None
2,3675,3675,click
2,5254,3675,label
2,5254,5254,click
2,5254,5254,click
2,5254,None,None
2,5254,None,None
2,5254,None,None
2,5254,5254,click
2,2500,5254,label
2,2500,2500,click
2,2500,2500,click
2,2500,2500,click
2,4862,2500,label
2,4862,4862,click
2,4862,4862,click
2,4862,None,None
2,4862,None,None
2,4862,4862,click
2,6001,4862,label
2,6001,6001,click
2,6001,6001,click
2,6001,None,None
2,6001,6001,click
2,3798,6001,label
2,3798,3798,click
2,3798,3798,click
2,3798,None,None
2,3798,3798,click
2,1447,3798,label
2,1447,1447,click
2,1447,1447,click
2,1447,None,None
2,1447,None,None
2,1447,None,None
2,1447,1447,click
2,4779,1447,label
2,4779,4779,click
2,4779,4779,click
2,4779,None,None
2,4779,4779,click
2,6854,4779,label
2,6854,6854,click
2,6854,6854,click
2,6854,6854,click
2,4834,6854,label
2,4834,4834,click
2,4834,4834,click
2,4834,4834,click
2,1976,4834,label
2,1976,1976,click
2,1976,1976,click
2,1976,1976,click
2,1183,1976,label
2,1183,1183,click
2,1183,1183,click
2,1183,None,None
2,1183,1183,click
2,6984,1183,label
2,6984,6984,click
2,6984,6984,click
2,6984,None,None
2,6984,6984,click
2,5051,6984,label
2,5051,5051,click
2,5051,5051,click
2,5051,5051,click
2,3610,5051,label
2,3610,3610,click
2,3610,3610,click
2,3610,3610,click
2,1634,3610,label
2,1634,1634,click
2,1634,1634,click
2,1634,1634,click
2,5661,1634,label
2,5661,5661,click
2,5661,5661,click
2,5661,5661,click
2,7037,5661,label
2,7037,7037,click
2,7037,7037,click
2,7037,7037,click
2,3751,7037,label
2,3751,3751,click
2,3751,3751,click
2,3751,None,None
2,3751,3751,click
2,489,3751,label
2,489,489,click
2,489,489,click
2,489,489,click
2,1330,489,label
2,1330,1330,click
2,1330,1330,click
2,1330,1330,click
2,4439,1330,label
2,4439,4439,click
2,4439,4439,click
2,4439,4439,click
2,177,4439,label
2,177,177,click
2,177,177,click
2,177,177,click
2,177,None,None
2,4860,177,label
2,4860,4860,click
2,4860,4860,click
2,4860,4860,click
2,4709,4860,label
2,4709,4709,click
2,4709,4709,click
2,4709,4709,click
