user_id,recommendID,viewID,action
18,331,331,click
18,331,331,click
18,331,94,click
18,331,996,click
18,331,435,click
18,331,1420,click
18,331,596,click
18,331,2006,click
18,331,323,click
18,331,339,click
18,331,176,click
18,331,279,click
18,331,708,click
18,331,661,click
18,331,362,click
18,331,1688,click
18,331,1456,click
18,331,1621,click
18,331,1299,click
18,331,1252,click
18,331,128,click
18,331,1005,click
18,331,1005,click
18,362,1005,label
18,362,362,click
18,362,362,click
18,362,362,click
18,427,362,label
18,427,427,click
18,427,427,click
18,427,427,click
18,116,427,label
18,116,116,click
18,116,116,click
18,116,116,click
18,116,116,click
18,116,116,click
18,116,116,click
18,116,1430,click
18,116,116,click
18,116,116,click
18,116,29,click
18,116,29,click
18,708,29,label
18,708,708,click
