user_id,recommendID,viewID,action
14,47,47,click
14,47,47,click
14,47,47,click
14,47,47,click
14,47,47,click
14,47,47,click
14,47,789,click
14,47,155,click
14,47,648,click
14,47,601,click
14,47,1202,click
14,47,1016,click
14,47,2205,click
14,47,1385,click
14,47,1706,click
14,47,136,click
14,47,112,click
14,47,2,click
14,47,1085,click
14,47,2104,click
14,47,1392,click
14,47,2190,click
14,47,1499,click
14,47,1612,click
14,47,2119,click
14,47,47,click
14,47,1237,click
14,47,1237,click
14,1789,1237,label
14,1789,1789,click
14,1789,1789,click
14,1789,1237,click
