user_id,recommendID,viewID,action
19,710,710,click
19,710,710,click
19,858,710,label
19,858,858,click
19,858,710,click
19,2106,710,label
19,2106,2106,click
19,2106,2106,click
19,2106,2106,click
19,1988,2106,label
19,1988,1988,click
19,1988,1988,click
19,1988,1988,click
19,1988,1988,click
19,1988,1988,click
19,1988,1988,click
19,1988,1988,click
19,1988,1988,click
19,500,1988,label
19,500,500,click
19,500,500,click
19,500,500,click
19,500,500,click
19,370,500,label
19,370,370,click
19,370,370,click
19,370,370,click
19,1847,370,label
19,1847,1847,click
19,1847,1847,click
19,1847,1847,click
